Cyprinodon nevadensis amargosae collection - November 2014,,,,,,,,,
,,,,,,,,,
fish #,population,collection date,sex,SL (mm),body mass (g),pelvic fins,eye diameter (mm),head length (mm),body depth (mm)
1725,river,Nov 2014,F,29,0.6,2,2.15,7.494,7.995
1726,river,Nov 2014,M,32.05,0.81,2,2.57,8.631,8.829
1727,river,Nov 2014,M,31,0.82,2,2.45,8.831,8.898
1728,river,Nov 2014,F,27.15,0.5,2,2.19,7.314,7.446
1729,river,Nov 2014,F,31.1,0.73,2,2.18,8.565,8.454
1730,river,Nov 2014,F,33,0.86,2,2.55,9.357,9.16
1731,river,Nov 2014,F,30.6,0.76,2,2.29,9.422,8.656
1732,river,Nov 2014,F,22.7,0.34,2,1.91,6.407,6.425
1733,river,Nov 2014,M,38.55,1.53,2,2.9,9.625,11.59
1734,river,Nov 2014,F,36.35,1.43,2,2.73,9.046,10.68
1735,river,Nov 2014,F,33.05,1.02,2,2.55,8.895,9.825
1736,river,Nov 2014,F,43.75,2.51,2,3.11,11.07,13.25
1737,river,Nov 2014,F,37.55,1.33,2,3.08,9.928,10.83
1738,river,Nov 2014,M,30.25,0.76,2,2.37,8.323,8.643
1739,river,Nov 2014,F,44.8,2.64,2,3.19,10.63,13.79
1740,river,Nov 2014,F,41.45,2.07,2,2.86,10.54,12.57
1741,river,Nov 2014,F,44.1,2.47,2,3.42,11.73,13.37
1742,river,Nov 2014,M,48.95,3.67,2,3.12,13,16.7
1743,river,Nov 2014,F,39.5,1.65,2,3.02,10.37,11.33
1744,river,Nov 2014,F,24.8,0.4,2,2.02,6.33,6.713
1745,river,Nov 2014,F,42.4,2.35,2,2.66,10.54,13.23
1746,river,Nov 2014,F,46.55,1.98,2,3,11.7,13.02
1747,river,Nov 2014,F,23.95,0.41,2,2.02,6.678,7.028
1748,river,Nov 2014,F,33.8,1.16,2,2.56,8.785,9.928
1749,river,Nov 2014,M,46.55,2.81,2,3.08,12.21,15.72
1750,river,Nov 2014,F,42.65,2.1,2,2.81,11.6,13.1
1751,river,Nov 2014,F,40.6,1.9,2,3.12,10.37,11.86
1752,river,Nov 2014,F,36.1,1.27,2,2.68,8.613,10.02
1753,river,Nov 2014,F,43.1,2.27,2,2.9,12.47,13.35
1754,river,Nov 2014,F,41.95,2.36,2,2.77,12.04,13.27
1755,river,Nov 2014,M,47.7,3.58,2,3,13.62,17.99
1756,river,Nov 2014,F,38.15,1.54,2,2.82,10.72,11.52
1757,river,Nov 2014,M,37.5,1.68,2,2.77,10.1,12.39
1758,river,Nov 2014,F,41.3,1.92,2,2.86,10.89,12.21
1759,river,Nov 2014,F,30,0.77,2,2.2,7.908,8.625
1760,river,Nov 2014,F,29.15,0.68,2,2.2,8.082,8.441
1761,river,Nov 2014,F,40.3,1.76,2,2.68,10.02,11.07
1762,river,Nov 2014,M,26.45,0.53,2,2.14,7.379,8.111
1763,river,Nov 2014,M,41.2,2.03,2,2.93,11.09,13.22
1764,river,Nov 2014,F,27.75,0.58,2,2.08,7.204,7.73
1765,river,Nov 2014,F,37.25,1.43,2,2.46,10.1,10.98
1766,river,Nov 2014,F,37.65,1.46,2,2.67,9.582,10.63
1767,river,Nov 2014,M,38.45,1.57,2,2.55,10.56,11.51
1768,river,Nov 2014,F,26.15,0.46,2,2.13,7.203,7.3
1769,river,Nov 2014,F,27.4,0.56,2,2.05,6.861,7.555
1770,river,Nov 2014,F,33.25,0.98,2,2.55,9.444,9.795
1771,river,Nov 2014,M,35.4,1.33,2,2.64,10.02,11.73
1772,river,Nov 2014,F,39.2,1.45,2,2.5,10.81,11.42
1773,river,Nov 2014,F,39.1,1.29,2,2.77,11.07,10.63
1774,river,Nov 2014,F,26.15,0.49,2,2.05,7.443,7.935
1775,river,Nov 2014,M,43.2,2.38,2,3.03,12.65,14.5
1776,river,Nov 2014,F,39.95,1.72,2,2.81,10.94,12.61
1777,river,Nov 2014,F,27.7,0.57,2,1.98,7.599,7.719
1778,river,Nov 2014,M,27.6,0.61,2,2.14,7.624,8.348
1779,river,Nov 2014,F,35,1.16,2,2.81,9.84,10.01
1780,river,Nov 2014,F,29.95,0.71,2,2.11,8.733,8.259
1781,river,Nov 2014,M,35.9,1.39,2,2.72,9.839,10.98
1782,river,Nov 2014,F,42.9,2.09,2,3.17,11.77,13.18
1783,river,Nov 2014,F,38.4,1.41,2,2.99,9.928,10.89
1784,river,Nov 2014,F,27.1,0.52,2,2.06,6.984,7.688
1785,river,Nov 2014,M,29.1,0.61,2,2.2,7.472,7.907
1786,river,Nov 2014,F,29.7,0.68,2,2.28,7.818,8.084
1787,river,Nov 2014,F,34.2,0.96,2,2.81,10.02,9.312
1788,river,Nov 2014,F,40.6,1.71,2,3.25,11.68,12.3
1789,river,Nov 2014,F,30.5,0.74,2,2.28,7.998,8.528
1790,river,Nov 2014,F,34.55,0.93,2,2.64,8.609,9.048
1791,river,Nov 2014,F,29.4,0.6,2,1.94,7.908,7.994
1792,river,Nov 2014,F,36.85,1.42,2,2.9,9.048,10.98
1793,river,Nov 2014,M,40,2.14,2,2.55,10.98,13.72
1794,river,Nov 2014,F,39.45,1.7,2,2.81,10.72,12.04
1795,river,Nov 2014,F,38.9,1.52,2,3.43,10.63,11.44
1796,river,Nov 2014,M,34.65,1.12,2,2.81,10.37,10.1
1797,river,Nov 2014,F,24.05,0.36,2,2.02,6.282,6.545
1798,river,Nov 2014,M,38.35,1.4,2,2.99,10.81,11.33
1799,river,Nov 2014,M,37.6,1.36,2,2.81,9.494,10.81
1800,river,Nov 2014,M,30.25,0.71,2,2.29,7.914,8.259
1801,river,Nov 2014,M,36.75,1.21,2,2.9,9.93,10.72
1802,river,Nov 2014,F,24.35,0.39,2,2.37,6.764,7.028
1803,river,Nov 2014,M,41.8,1.97,2,2.99,12.83,13.44
1804,river,Nov 2014,F,32.3,0.86,right,2.57,8.558,9.143
1805,river,Nov 2014,M,40.15,1.72,2,3.08,11.16,12.3
1806,river,Nov 2014,M,31.65,0.83,left,,,
1807,river,Nov 2014,F,27.8,0.54,2,2.02,7.291,7.906
1808,river,Nov 2014,F,29.6,0.6,2,2.11,7.994,8.082
1809,river,Nov 2014,M,33.7,0.9,2,2.46,9.224,9.224
1810,river,Nov 2014,F,37.35,1.27,2,2.81,10.19,10.28
1811,river,Nov 2014,F,27.45,0.56,2,2.37,7.118,7.732
1812,river,Nov 2014,F,35,1.1,2,2.81,9.239,10.02
1813,river,Nov 2014,M,43.45,2.54,2,3.44,11.16,14.32
1814,river,Nov 2014,M,39.35,1.66,2,3.17,10.63,12.04
1815,river,Nov 2014,F,27.55,0.5,2,2.2,7.392,7.908
1816,river,Nov 2014,F,37.2,1.44,2,3.08,9.84,11.07
1817,river,Nov 2014,F,32,0.9,2,2.99,8.082,9.4
1818,river,Nov 2014,F,26.7,0.52,2,2.29,7.293,8.082
1819,river,Nov 2014,F,34.8,1.2,2,2.73,9.313,10.11
1820,river,Nov 2014,F,30.05,0.67,2,2.2,8.082,8.445
1821,river,Nov 2014,F,34.6,1.17,2,2.81,9.313,10.37
1822,river,Nov 2014,F,33,0.82,2,2.64,8.269,8.532
1823,river,Nov 2014,F,34.8,1.03,2,2.37,9.136,9.489
1824,river,Nov 2014,F,34.5,1.18,2,2.73,10.19,10.63
1825,river,Nov 2014,F,32.35,0.87,2,2.55,8.258,8.609
1826,river,Nov 2014,F,39.6,1.44,2,2.72,10.89,11.42
1827,river,Nov 2014,F,40.7,1.61,2,3.34,10.72,11.77
1828,river,Nov 2014,M,29.5,0.55,2,2.46,8.086,7.203
1829,river,Nov 2014,M,41.65,1.9,2,3.25,12.65,13.62
1830,river,Nov 2014,M,44,2.52,2,3.51,11.96,14.27
1831,river,Nov 2014,M,29,0.63,2,2.46,7.555,8.181
1832,river,Nov 2014,F,36.85,1.35,2,3.08,10.19,10.98
1833,river,Nov 2014,F,39.25,1.67,2,3.26,11.6,12.04
1834,river,Nov 2014,M,29.1,0.62,2,2.55,7.996,7.732
1835,river,Nov 2014,M,42.3,1.83,2,2.99,11.17,12.74
1836,river,Nov 2014,F,37.1,1.42,2,2.73,10.37,10.81
1837,river,Nov 2014,F,26.65,0.42,2,1.94,7.379,7.203
1838,river,Nov 2014,M,28.35,0.61,2,2.37,7.555,7.555
1839,river,Nov 2014,M,50.65,4.19,2,3.28,12.83,17.4
1840,river,Nov 2014,M,31.2,0.88,2,2.37,8.522,9.049
1841,river,Nov 2014,F,29.25,0.59,2,2.2,7.73,7.293
1842,river,Nov 2014,F,30.7,0.67,2,2.55,8.177,7.731
1843,river,Nov 2014,F,34.4,1.05,2,2.81,9.751,9.667
